"filename", "language", "PowerShell", "XML", "JSON", "TypeScript", "CSS", "JSON with Comments", "TypeScript JSX", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"f:\E-Commerce Website (Full)\backend\BULLMQ_STATUS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 32, 136
"f:\E-Commerce Website (Full)\backend\COLLECTION_PAGE_FIX.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 22, 121
"f:\E-Commerce Website (Full)\backend\PRODUCTION_READINESS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 34, 146
"f:\E-Commerce Website (Full)\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 29, 111
"f:\E-Commerce Website (Full)\backend\SECURITY_FIXES.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 22, 108
"f:\E-Commerce Website (Full)\backend\config\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"f:\E-Commerce Website (Full)\backend\controllers\adminController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 2, 30, 228
"f:\E-Commerce Website (Full)\backend\controllers\analyticsController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"f:\E-Commerce Website (Full)\backend\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 36, 31, 213
"f:\E-Commerce Website (Full)\backend\controllers\cartController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 32, 249
"f:\E-Commerce Website (Full)\backend\controllers\contactController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 6, 15, 103
"f:\E-Commerce Website (Full)\backend\controllers\inventoryController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 350, 0, 0, 2, 48, 400
"f:\E-Commerce Website (Full)\backend\controllers\newsletterController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 8, 16, 109
"f:\E-Commerce Website (Full)\backend\controllers\orderController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 639, 0, 0, 46, 97, 782
"f:\E-Commerce Website (Full)\backend\controllers\paymentController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 30, 24, 195
"f:\E-Commerce Website (Full)\backend\controllers\phase1Controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 474, 0, 0, 5, 93, 572
"f:\E-Commerce Website (Full)\backend\controllers\phase2Controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 688, 0, 0, 35, 131, 854
"f:\E-Commerce Website (Full)\backend\controllers\phase3Controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 809, 0, 0, 53, 155, 1017
"f:\E-Commerce Website (Full)\backend\controllers\productController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 398, 0, 0, 11, 42, 451
"f:\E-Commerce Website (Full)\backend\controllers\recommendationController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 1, 32, 246
"f:\E-Commerce Website (Full)\backend\controllers\reviewController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 4, 51, 390
"f:\E-Commerce Website (Full)\backend\controllers\searchController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 2, 24, 229
"f:\E-Commerce Website (Full)\backend\controllers\userController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 27, 176
"f:\E-Commerce Website (Full)\backend\controllers\webhookController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 11, 20, 165
"f:\E-Commerce Website (Full)\backend\controllers\wishlistController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 52, 411
"f:\E-Commerce Website (Full)\backend\data\defaultProducts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 2, 3, 92
"f:\E-Commerce Website (Full)\backend\ecosystem.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 55
"f:\E-Commerce Website (Full)\backend\email-templates\order-cancelled.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 11, 71
"f:\E-Commerce Website (Full)\backend\email-templates\order-delivered.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 10, 70
"f:\E-Commerce Website (Full)\backend\email-templates\order-placed.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 12, 83
"f:\E-Commerce Website (Full)\backend\email-templates\order-shipped.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 12, 81
"f:\E-Commerce Website (Full)\backend\email-templates\payment-approved.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 12, 81
"f:\E-Commerce Website (Full)\backend\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 1, 15, 105
"f:\E-Commerce Website (Full)\backend\middleware\authEnhanced.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\E-Commerce Website (Full)\backend\middleware\authMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\E-Commerce Website (Full)\backend\middleware\rateLimiter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"f:\E-Commerce Website (Full)\backend\middleware\validate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"f:\E-Commerce Website (Full)\backend\models\AbandonedCart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 389, 0, 0, 11, 45, 445
"f:\E-Commerce Website (Full)\backend\models\AdminActionLog.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"f:\E-Commerce Website (Full)\backend\models\Bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 340, 0, 0, 15, 39, 394
"f:\E-Commerce Website (Full)\backend\models\Contact.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"f:\E-Commerce Website (Full)\backend\models\Event.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"f:\E-Commerce Website (Full)\backend\models\Inventory.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 4, 35, 445
"f:\E-Commerce Website (Full)\backend\models\MessageLog.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"f:\E-Commerce Website (Full)\backend\models\Newsletter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"f:\E-Commerce Website (Full)\backend\models\OneClickCheckout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 11, 14, 165
"f:\E-Commerce Website (Full)\backend\models\Order.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 3, 72
"f:\E-Commerce Website (Full)\backend\models\Phase1Models.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 521, 0, 0, 61, 73, 655
"f:\E-Commerce Website (Full)\backend\models\Phase2Models.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 696, 0, 0, 79, 134, 909
"f:\E-Commerce Website (Full)\backend\models\Phase3Models.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 737, 0, 0, 93, 174, 1004
"f:\E-Commerce Website (Full)\backend\models\Product.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 3, 5, 91
"f:\E-Commerce Website (Full)\backend\models\Recommendation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 6, 91
"f:\E-Commerce Website (Full)\backend\models\Review.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 400, 0, 0, 10, 46, 456
"f:\E-Commerce Website (Full)\backend\models\User.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 2, 5, 62
"f:\E-Commerce Website (Full)\backend\models\Wishlist.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 404, 0, 0, 5, 50, 459
"f:\E-Commerce Website (Full)\backend\package-lock.json", "JSON", 0, 0, 9611, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9612
"f:\E-Commerce Website (Full)\backend\package-production.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"f:\E-Commerce Website (Full)\backend\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
