"filename", "language", "JSON", "JavaScript", "Markdown", "PowerShell", "XML", "HTML", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\QUICK_START.md", "Markdown", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 78, 220
"c:\E-Commerce Website (Full) - Copy (3)\api\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 81
"c:\E-Commerce Website (Full) - Copy (3)\backend\BULLMQ_STATUS.md", "Markdown", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 32, 136
"c:\E-Commerce Website (Full) - Copy (3)\backend\COLLECTION_PAGE_FIX.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 22, 121
"c:\E-Commerce Website (Full) - Copy (3)\backend\MONGODB_SETUP.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 53, 165
"c:\E-Commerce Website (Full) - Copy (3)\backend\PRODUCTION_READINESS.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 34, 146
"c:\E-Commerce Website (Full) - Copy (3)\backend\README.md", "Markdown", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 29, 111
"c:\E-Commerce Website (Full) - Copy (3)\backend\SECURITY_FIXES.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 22, 108
"c:\E-Commerce Website (Full) - Copy (3)\backend\bootstrap.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 112
"c:\E-Commerce Website (Full) - Copy (3)\backend\check_status.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\E-Commerce Website (Full) - Copy (3)\backend\config\db.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\E-Commerce Website (Full) - Copy (3)\backend\config\env.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 137
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\adminController.js", "JavaScript", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 228
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\analyticsController.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 69
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\authController.js", "JavaScript", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 28, 30, 272
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\cartController.js", "JavaScript", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 249
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\contactController.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 83
