"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JSON", "MS SQL", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\backend\check_products.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"c:\E-Commerce Website (Full) - Copy (3)\backend\check_users.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\E-Commerce Website (Full) - Copy (3)\backend\controllers\productController.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 61
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\event.json", "JSON", 0, 0, 0, 0, 4197, 0, 0, 0, 0, 0, 0, 4197
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\product.json", "JSON", 0, 0, 0, 0, 4376, 0, 0, 0, 0, 0, 0, 4376
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\sitecontent.json", "JSON", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 189
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\user.json", "JSON", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 88
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Phase3Models.js", "JavaScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\E-Commerce Website (Full) - Copy (3)\backend\test_db.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\E-Commerce Website (Full) - Copy (3)\backend\utils\LocalDB.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\E-Commerce Website (Full) - Copy (3)\database\omnora_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 420, 0, 0, 0, 90, 117, 627
"c:\E-Commerce Website (Full) - Copy (3)\frontend\check_users.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\E-Commerce Website (Full) - Copy (3)\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 4303, 0, 0, 0, 0, 0, 0, 4303
"c:\E-Commerce Website (Full) - Copy (3)\frontend\package.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\E-Commerce Website (Full) - Copy (3)\frontend\public\pwa-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 7, 35
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 6, 43
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\api\client.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 8, 3, 18
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\DynamicSection.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 4, 14, 73
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\HostnameInterceptor.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 0, 0, 0, 5, 14, 108
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 0, 15
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\RequireAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\admin\AdminBillingManager.tsx", "TypeScript JSX", 0, 0, 177, 0, 0, 0, 0, 0, 0, 11, 22, 210
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 276, 0, 0, 0, 0, 0, 0, 10, 21, 307
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\admin\AdminPaymentSettings.tsx", "TypeScript JSX", 0, 0, 143, 0, 0, 0, 0, 0, 0, 1, 13, 157
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\admin\OrderManager.tsx", "TypeScript JSX", 0, 0, 264, 0, 0, 0, 0, 0, 0, 18, 29, 311
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\auth\AuthModal.tsx", "TypeScript JSX", 0, 0, 143, 0, 0, 0, 0, 0, 0, 5, 20, 168
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\blocks\AnnouncementBar.tsx", "TypeScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 0, 3, 14, 111
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\blocks\CountdownTimer.tsx", "TypeScript JSX", 0, 0, 169, 0, 0, 0, 0, 0, 0, 5, 19, 193
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\blocks\CustomerReviews.tsx", "TypeScript JSX", 0, 0, 174, 0, 0, 0, 0, 0, 0, 12, 22, 208
