"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "XML", "CSS", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\omnora OS\QUICK_START.md", "Markdown", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 220
"c:\omnora OS\api\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 7
"c:\omnora OS\api\storefront.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 134
"c:\omnora OS\audit-routes.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\omnora OS\backend\BULLMQ_STATUS.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 136
"c:\omnora OS\backend\COLLECTION_PAGE_FIX.md", "Markdown", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 121
"c:\omnora OS\backend\MONGODB_SETUP.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 165
"c:\omnora OS\backend\PRODUCTION_READINESS.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 146
"c:\omnora OS\backend\README.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 111
"c:\omnora OS\backend\SECURITY_FIXES.md", "Markdown", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 108
"c:\omnora OS\backend\bootstrap.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 106
"c:\omnora OS\backend\check_products.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 41
"c:\omnora OS\backend\check_status.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\omnora OS\backend\check_users.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\omnora OS\backend\config\env.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 146
"c:\omnora OS\backend\controllers\adminController.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 228
"c:\omnora OS\backend\controllers\analyticsController.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 94
"c:\omnora OS\backend\controllers\authController.js", "JavaScript", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 272
"c:\omnora OS\backend\controllers\cartController.js", "JavaScript", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 249
"c:\omnora OS\backend\controllers\contactController.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 81
"c:\omnora OS\backend\controllers\domainController.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 117
"c:\omnora OS\backend\controllers\inventoryController.js", "JavaScript", 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48, 406
"c:\omnora OS\backend\controllers\mediaController.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 71
"c:\omnora OS\backend\controllers\newsletterController.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 74
"c:\omnora OS\backend\controllers\orderController.js", "JavaScript", 606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 93, 748
"c:\omnora OS\backend\controllers\paymentController.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 175
"c:\omnora OS\backend\controllers\phase1Controller.js", "JavaScript", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 93, 572
"c:\omnora OS\backend\controllers\phase2Controller.js", "JavaScript", 687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 131, 854
"c:\omnora OS\backend\controllers\phase3Controller.js", "JavaScript", 808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 155, 1017
"c:\omnora OS\backend\controllers\productController.js", "JavaScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42, 383
"c:\omnora OS\backend\controllers\recommendationController.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 246
"c:\omnora OS\backend\controllers\reviewController.js", "JavaScript", 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51, 390
"c:\omnora OS\backend\controllers\searchController.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 229
"c:\omnora OS\backend\controllers\userController.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34, 236
"c:\omnora OS\backend\controllers\webhookController.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 22, 183
"c:\omnora OS\backend\controllers\wishlistController.js", "JavaScript", 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52, 411
