Date : 2026-03-24 01:14:17
Directory : c:\omnora OS
Total : 826 files,  178742 codes, 4322 comments, 16345 blanks, all 199409 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         36 |     72,117 |          0 |         12 |     72,129 |
| TypeScript JSX     |        266 |     47,554 |      1,810 |      5,784 |     55,148 |
| JavaScript         |        309 |     28,130 |      1,786 |      5,165 |     35,081 |
| CSS                |         72 |     16,693 |          0 |      2,603 |     19,296 |
| TypeScript         |         98 |     10,377 |        557 |      1,661 |     12,595 |
| Markdown           |         19 |      2,110 |          0 |        770 |      2,880 |
| MS SQL             |          8 |        874 |        161 |        192 |      1,227 |
| HTML               |         12 |        782 |          0 |        133 |        915 |
| XML                |          2 |         46 |          0 |          9 |         55 |
| PowerShell         |          3 |         42 |          8 |         14 |         64 |
| JSON with Comments |          1 |         17 |          0 |          2 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        826 |    178,742 |      4,322 |     16,345 |    199,409 |
| . (Files)                                                                     |         44 |      2,271 |         50 |        290 |      2,611 |
| api                                                                           |          2 |        103 |         19 |         19 |        141 |
| backend                                                                       |        168 |     45,390 |        830 |      2,854 |     49,074 |
| backend (Files)                                                               |         26 |     10,738 |         44 |        356 |     11,138 |
| backend\config                                                                |          1 |        122 |          5 |         19 |        146 |
| backend\controllers                                                           |         21 |      5,827 |        253 |        956 |      7,036 |
| backend\data                                                                  |          9 |     21,266 |          2 |          3 |     21,271 |
| backend\docs                                                                  |          2 |         74 |          0 |         37 |        111 |
| backend\email-templates                                                       |          5 |        329 |          0 |         57 |        386 |
| backend\jobs                                                                  |          1 |         96 |          6 |         19 |        121 |
| backend\middleware                                                            |          6 |        271 |         13 |         58 |        342 |
| backend\modules                                                               |         12 |        520 |         31 |        100 |        651 |
| backend\modules\ai-forge                                                      |          3 |        191 |         15 |         37 |        243 |
| backend\modules\analytics                                                     |          3 |         81 |          2 |         15 |         98 |
| backend\modules\checkout                                                      |          3 |        139 |          8 |         23 |        170 |
| backend\modules\tenant                                                        |          3 |        109 |          6 |         25 |        140 |
| backend\routes                                                                |         24 |        853 |        170 |        197 |      1,220 |
| backend\scripts                                                               |         12 |        779 |         69 |        142 |        990 |
| backend\services                                                              |         20 |      2,116 |        113 |        378 |      2,607 |
| backend\services (Files)                                                      |         17 |      1,978 |        110 |        354 |      2,442 |
| backend\services\shipping                                                     |          3 |        138 |          3 |         24 |        165 |
| backend\shared                                                                |          5 |        189 |         10 |         44 |        243 |
| backend\shared\lib                                                            |          2 |         76 |          3 |         20 |         99 |
| backend\shared\middleware                                                     |          3 |        113 |          7 |         24 |        144 |
| backend\templates                                                             |          3 |        201 |          0 |          0 |        201 |
| backend\templates\home                                                        |          3 |        201 |          0 |          0 |        201 |
| backend\tests                                                                 |          6 |        822 |         42 |        232 |      1,096 |
| backend\tests (Files)                                                         |          2 |        417 |         10 |        137 |        564 |
| backend\tests\integration                                                     |          2 |        279 |         29 |         61 |        369 |
| backend\tests\security                                                        |          1 |         88 |          3 |         24 |        115 |
| backend\tests\unit                                                            |          1 |         38 |          0 |         10 |         48 |
| backend\utils                                                                 |          9 |        809 |         51 |        164 |      1,024 |
| backend\validators                                                            |          4 |        128 |          0 |         29 |        157 |
| backend\workers                                                               |          2 |        250 |         21 |         63 |        334 |
| database                                                                      |          3 |        613 |        117 |        144 |        874 |
| frontend                                                                      |        388 |     74,334 |      2,046 |      8,504 |     84,884 |
| frontend (Files)                                                              |         10 |     10,355 |         11 |         45 |     10,411 |
| frontend\public                                                               |          3 |         55 |          0 |          8 |         63 |
| frontend\src                                                                  |        374 |     63,897 |      2,034 |      8,444 |     74,375 |
| frontend\src (Files)                                                          |          6 |        796 |         15 |        117 |        928 |
| frontend\src\api                                                              |          2 |         63 |          9 |         14 |         86 |
| frontend\src\app                                                              |          4 |        286 |         15 |         54 |        355 |
| frontend\src\app\api                                                          |          1 |         15 |          0 |          4 |         19 |
