"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "CSS", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\.eslintrc.json", "JSON with Comments", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\omnora OS\frontend\check_users.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\omnora OS\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 89, 0, 10, 99
"c:\omnora OS\frontend\library_lint_report.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\omnora OS\frontend\middleware.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 11, 16, 122
"c:\omnora OS\frontend\package-lock.json", "JSON", 0, 0, 0, 13393, 0, 0, 0, 0, 0, 1, 13394
"c:\omnora OS\frontend\package.json", "JSON", 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
"c:\omnora OS\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\omnora OS\frontend\public\manifest.webmanifest", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 26
"c:\omnora OS\frontend\public\offline.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\omnora OS\frontend\public\pwa-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\omnora OS\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 7, 8, 102
"c:\omnora OS\frontend\src\api\PixelManager.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 7, 16, 113
"c:\omnora OS\frontend\src\api\Publisher.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 10, 21, 113
"c:\omnora OS\frontend\src\api\client.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 7, 10, 59
"c:\omnora OS\frontend\src\api\cmsApi.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\omnora OS\frontend\src\app\api\dns-check\route.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\omnora OS\frontend\src\app\store\[merchant_slug]\[page_slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 7, 21, 152
"c:\omnora OS\frontend\src\app\store\[merchant_slug]\track\[order_id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 9, 18, 140
"c:\omnora OS\frontend\src\app\store\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 5, 14, 104
"c:\omnora OS\frontend\src\components\AdPlacement.css", "CSS", 0, 0, 0, 0, 266, 0, 0, 0, 0, 48, 314
"c:\omnora OS\frontend\src\components\AdPlacementZone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 5, 10, 137
"c:\omnora OS\frontend\src\components\AdminLayout.css", "CSS", 0, 0, 0, 0, 249, 0, 0, 0, 0, 33, 282
"c:\omnora OS\frontend\src\components\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 3, 12, 99
"c:\omnora OS\frontend\src\components\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 10, 15, 121
"c:\omnora OS\frontend\src\components\DynamicSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 476, 0, 0, 6, 49, 531
"c:\omnora OS\frontend\src\components\ErrorBoundary.css", "CSS", 0, 0, 0, 0, 124, 0, 0, 0, 0, 17, 141
"c:\omnora OS\frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 3, 14, 86
"c:\omnora OS\frontend\src\components\Footer.css", "CSS", 0, 0, 0, 0, 245, 0, 0, 0, 0, 39, 284
